Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02 00:00:00,17.89999962,17.95000076,17.79999924,17.79999924,13.41627789,5383237
2020-01-03 00:00:00,17.89999962,18,17.75,17.89999962,13.49165058,7256023
2020-01-06 00:00:00,17.79999924,17.85000038,17.60000038,17.64999962,13.30321789,7615770
2020-01-07 00:00:00,17.64999962,17.79999924,17.54999924,17.54999924,13.2278471,5708642
2020-01-08 00:00:00,17.5,17.54999924,17.39999962,17.45000076,13.15247631,7981411
2020-01-09 00:00:00,17.60000038,17.64999962,17.5,17.60000038,13.26553345,3502361
2020-01-10 00:00:00,17.70000076,17.79999924,17.64999962,17.70000076,13.34090805,3902773
2020-01-13 00:00:00,17.64999962,17.79999924,17.60000038,17.79999924,13.41627789,8086763
2020-01-14 00:00:00,17.79999924,17.85000038,17.70000076,17.85000038,13.45396519,5837827
2020-01-15 00:00:00,17.79999924,18,17.75,18,13.56702518,7150778
2020-01-16 00:00:00,18,18.10000038,17.95000076,18.10000038,13.64239693,6959544
2020-01-17 00:00:00,18.20000076,18.39999962,18.04999924,18.25,13.75545311,17845042
2020-01-20 00:00:00,18.25,18.29999924,18.04999924,18.04999924,13.60470963,5707816
2020-01-30 00:00:00,17.39999962,17.45000076,16.54999924,16.64999962,12.5494957,23383651
2020-01-31 00:00:00,16.85000038,17.20000076,16.70000076,16.89999962,12.73792744,13100698
2020-02-03 00:00:00,16.5,16.54999924,16.10000038,16.54999924,12.47412395,13382952
2020-02-04 00:00:00,17.89999962,18,16.75,16.75,12.62486935,7562725
2020-02-05 00:00:00,16.79999924,16.79999924,16.54999924,16.60000038,12.5118103,7128167
2020-02-06 00:00:00,16.79999924,17,16.70000076,16.95000076,12.77561378,8970347
2020-02-07 00:00:00,16.85000038,17.14999962,16.70000076,16.85000038,12.70024204,7475074
2020-02-10 00:00:00,16.54999924,16.75,16.5,16.60000038,12.5118103,6501102
2020-02-11 00:00:00,16.64999962,16.79999924,16.60000038,16.60000038,12.5118103,5022873
2020-02-12 00:00:00,16.70000076,17,16.70000076,17,12.81329918,6805099
2020-02-13 00:00:00,17,17.10000038,16.85000038,16.89999962,12.73792744,5723835
2020-02-14 00:00:00,16.89999962,17,16.85000038,16.85000038,12.70024204,2727865
2020-02-17 00:00:00,16.79999924,16.85000038,16.75,16.79999924,12.66255379,3572481
2020-02-18 00:00:00,16.75,16.89999962,16.60000038,16.64999962,12.5494957,5315324
2020-02-19 00:00:00,16.75,17.39999962,16.75,17.25,13.00172997,12623328
2020-02-20 00:00:00,17.39999962,17.45000076,17,17.10000038,12.88867283,6668000
2020-02-21 00:00:00,17.20000076,17.35000038,17.04999924,17.20000076,12.96404457,6663082
2020-02-24 00:00:00,17,17.14999962,16.85000038,16.95000076,12.77561378,7057060
2020-02-25 00:00:00,16.75,17.04999924,16.75,16.85000038,12.70024204,4770783
2020-02-26 00:00:00,16.70000076,16.85000038,16.60000038,16.75,12.62486935,9160489
2020-02-27 00:00:00,16.70000076,16.75,16.35000038,16.35000038,12.32337856,12464555
2020-03-02 00:00:00,15.94999981,16.5,15.80000019,16.14999962,12.17263412,10873664
2020-03-03 00:00:00,16.60000038,16.60000038,16.20000076,16.20000076,12.21032143,6956741
2020-03-04 00:00:00,16.20000076,16.39999962,16.20000076,16.35000038,12.32337856,5236510
2020-03-05 00:00:00,16.5,16.60000038,16.39999962,16.5,12.43643761,4987226
2020-03-06 00:00:00,16.35000038,16.39999962,16.14999962,16.20000076,12.21032143,7218698
2020-03-09 00:00:00,15.94999981,16,15.5,15.55000019,11.72040081,16003417
2020-03-10 00:00:00,15.19999981,15.75,15.19999981,15.64999962,11.79577351,12214540
2020-03-11 00:00:00,15.64999962,15.75,15.14999962,15.19999981,11.45659733,8310344
2020-03-12 00:00:00,15,15,14.10000038,14.35000038,10.81593227,21270904
2020-03-13 00:00:00,13.19999981,14.14999962,12.94999981,13.80000019,10.40138435,33563014
2020-03-16 00:00:00,13.89999962,14.10000038,13.25,13.5,10.17526817,17253703
2020-03-17 00:00:00,13.05000019,13.80000019,13,13.44999981,10.13758087,21863096
2020-03-18 00:00:00,13.5,13.64999962,13.39999962,13.5,10.17526817,16568603
2020-03-19 00:00:00,13.30000019,13.64999962,12.80000019,13.25,9.986836433,28735626
2020-03-20 00:00:00,13.39999962,13.94999981,13.39999962,13.89999962,10.47675705,24513604
2020-03-23 00:00:00,13.19999981,13.5,13,13.5,10.17526817,10675163
2020-03-24 00:00:00,13.69999981,13.94999981,13.55000019,13.55000019,10.21295357,14460211
2020-03-25 00:00:00,13.75,14,13.75,13.85000038,10.4390707,14176474
2020-03-26 00:00:00,14.30000019,15.19999981,14.05000019,14.94999981,11.26816654,33163762
2020-03-27 00:00:00,15.55000019,15.69999981,14.75,14.75,11.1174221,32015692
2020-03-30 00:00:00,14.69999981,16.20000076,14.64999962,16.20000076,12.21032143,55682662
2020-03-31 00:00:00,16.20000076,16.39999962,15.60000038,15.60000038,11.75808716,40058658
2020-04-01 00:00:00,15.75,16.10000038,15.60000038,15.64999962,11.79577351,25974688
2020-04-06 00:00:00,16,16,15.60000038,15.85000038,11.94651794,15410809
2020-04-07 00:00:00,16.04999924,16.10000038,15.44999981,15.60000038,11.75808716,25022914
2020-04-08 00:00:00,15.55000019,16,15.44999981,16,12.05957699,17618975
2020-04-09 00:00:00,16.10000038,16.20000076,15.64999962,15.64999962,11.79577351,14302338
2020-04-10 00:00:00,15.80000019,15.89999962,15.64999962,15.89999962,11.98420334,9966769
2020-04-13 00:00:00,15.80000019,15.89999962,15.60000038,15.80000019,11.9088316,8143502
2020-04-14 00:00:00,15.85000038,16.10000038,15.80000019,15.94999981,12.02188969,16850864
2020-04-15 00:00:00,16.10000038,16.14999962,15.85000038,16,12.05957699,15763520
2020-04-16 00:00:00,15.85000038,15.94999981,15.75,15.85000038,11.94651794,13475530
2020-04-17 00:00:00,16.04999924,16.10000038,15.75,15.75,11.87114525,19792928
2020-04-20 00:00:00,15.80000019,15.94999981,15.44999981,15.89999962,11.98420334,10636064
2020-04-21 00:00:00,15.75,15.89999962,15.19999981,15.19999981,11.45659733,16610086
2020-04-22 00:00:00,15.10000038,15.55000019,15,15.55000019,11.72040081,10689664
2020-04-23 00:00:00,15.64999962,15.80000019,15.5,15.69999981,11.8334589,9365271
2020-04-24 00:00:00,15.69999981,15.80000019,15.60000038,15.64999962,11.79577351,7180065
2020-04-27 00:00:00,15.75,16.14999962,15.75,16,12.05957699,14758776
2020-04-28 00:00:00,16.20000076,16.20000076,16,16,12.05957699,9772414
2020-04-29 00:00:00,16.20000076,16.75,16.14999962,16.54999924,12.47412395,26242886
2020-04-30 00:00:00,16.70000076,16.89999962,16.39999962,16.64999962,12.5494957,18857440
2020-05-04 00:00:00,16.04999924,16.25,16,16.14999962,12.17263412,14194997
2020-05-05 00:00:00,16.29999924,16.35000038,15.94999981,15.94999981,12.02188969,16413190
2020-05-06 00:00:00,15.89999962,16.04999924,15.80000019,15.94999981,12.02188969,10951396
2020-05-07 00:00:00,16.04999924,16.35000038,16,16.29999924,12.28569317,13906458
2020-05-08 00:00:00,16.54999924,16.60000038,16.25,16.35000038,12.32337856,11421175
2020-05-11 00:00:00,16.5,16.5,16.35000038,16.45000076,12.39875317,11796446
2020-05-12 00:00:00,16.39999962,16.5,16.29999924,16.35000038,12.32337856,11338991
2020-05-13 00:00:00,16.35000038,16.45000076,16.29999924,16.39999962,12.36106586,6065945
2020-05-14 00:00:00,16.39999962,16.45000076,16.10000038,16.14999962,12.17263412,8318615
2020-05-15 00:00:00,16.35000038,16.35000038,16.04999924,16.25,12.24800777,9131186
2020-05-18 00:00:00,16.39999962,16.39999962,16.14999962,16.29999924,12.28569317,6298112
2020-05-19 00:00:00,16.5,16.5,16.25,16.35000038,12.32337856,10694450
2020-05-20 00:00:00,16.39999962,16.45000076,16.14999962,16.29999924,12.28569317,7374489
2020-05-21 00:00:00,16.29999924,16.45000076,16.29999924,16.45000076,12.39875317,9138051
2020-05-22 00:00:00,16.35000038,16.35000038,16.04999924,16.10000038,12.13494873,10696013
2020-05-25 00:00:00,16.14999962,16.20000076,15.89999962,16.04999924,12.09726143,6006475
2020-05-26 00:00:00,16.20000076,16.35000038,16.14999962,16.29999924,12.28569317,6967570
2020-05-27 00:00:00,16.35000038,16.45000076,16.25,16.39999962,12.36106586,8646627
2020-05-28 00:00:00,16.45000076,16.5,16.25,16.35000038,12.32337856,7912975
2020-05-29 00:00:00,16.35000038,16.60000038,16.25,16.35000038,12.32337856,29347996
2020-06-01 00:00:00,16.5,17.20000076,16.45000076,17.10000038,12.88867283,27139541
2020-06-02 00:00:00,17.04999924,17.20000076,16.95000076,17.14999962,12.92635822,13690060
2020-06-03 00:00:00,17.39999962,17.5,17.29999924,17.35000038,13.07710266,11270894
2020-06-04 00:00:00,17.75,17.79999924,17.45000076,17.45000076,13.15247631,16694102
2020-06-05 00:00:00,17.39999962,17.60000038,17.25,17.45000076,13.15247631,8884549
2020-06-08 00:00:00,17.60000038,17.79999924,17.35000038,17.54999924,13.2278471,12705282
2020-06-09 00:00:00,17.70000076,17.89999962,17.54999924,17.60000038,13.26553345,12025027
2020-06-10 00:00:00,17.64999962,17.75,17.5,17.64999962,13.30321789,11861030
2020-06-11 00:00:00,17.64999962,17.85000038,17.29999924,17.29999924,13.03941631,16013771
2020-06-12 00:00:00,16.95000076,17.45000076,16.79999924,17.29999924,13.03941631,13770906
2020-06-15 00:00:00,17.45000076,17.64999962,17.10000038,17.14999962,12.92635822,10785621
2020-06-16 00:00:00,17.39999962,17.5,17.25,17.35000038,13.07710266,5955515
2020-06-17 00:00:00,17.5,17.64999962,17.35000038,17.60000038,13.26553345,7929124
2020-06-18 00:00:00,17.64999962,17.70000076,17.39999962,17.64999962,13.30321789,8689747
2020-06-19 00:00:00,17.64999962,17.70000076,17.5,17.54999924,13.2278471,10129842
2020-06-22 00:00:00,17.54999924,17.64999962,17.45000076,17.60000038,13.26553345,5368068
2020-06-23 00:00:00,17.60000038,18,17.54999924,18,13.56702518,15289849
